depth_mMDRF,dipazimuth_deg,dip_deg,type
1224.5599439999999,174.87238000000002,78.54814,Cond_FTCC
1224.830215,171.09971000000002,71.07558,Cond_FTCC
1225.193391,170.17669999999998,70.4837,Cond_FTCC
1225.535453,168.36274,69.1991,Cond_FTCC
1226.063326,174.29375,72.06275,Cond_FTCC
1226.7052199999998,177.07101,70.20312,Cond_FTCC
1226.974736,257.0502,79.10287,Cond_FTS
1227.2671460000001,256.0982,66.15125,Cond_FTS
1227.8291880000002,208.9007,70.01725,Cond_FTS
1228.018563,235.1198,60.7138,Cond_FTS
1228.690604,214.2224,72.84662,Cond_FTS
1229.724653,193.45940000000002,84.51151999999999,Cond_FTCC
1230.442146,287.7813,74.84151999999999,Cond_FTS
1230.805842,125.58903000000001,62.93476999999999,Cond_PTCC
1231.6010210000002,267.64340000000004,75.40635999999999,Cond_FTS
1231.836145,84.346206,86.25022,Cond_FTS
1231.8709509999999,170.6816,73.55026,Cond_PTCC
1232.5058960000001,439.6295,86.63673,Cond_FTS
1232.714525,263.97180000000003,88.44891,Cond_FTS
1233.1579390000002,242.921,86.37982,Cond_FTS
1233.215583,426.1761,41.757290000000005,Cond_PTCC
1233.606688,260.5358,85.34541,Cond_FTS
1234.098813,80.9035042,86.70833,Cond_FTS
1234.507183,87.709983,40.88619,Cond_PTCC
1234.7189369999999,267.5958,86.85824000000001,Cond_FTCC
1235.358113,224.1201,64.52386,Cond_FTCC
1236.078896,273.66589999999997,60.68151999999999,Cond_FTCC
1236.536326,278.8465,67.93204,Cond_FTCC
1236.7263599999999,269.9663,73.41196,Cond_FTCC
1237.135989,274.2131,67.15629,Cond_FTCC
1237.186665,275.9353,66.94442,Cond_FTCC
1237.6971460000002,236.5013,66.02215,Cond_FTS
1238.141059,286.4364,68.39277,Cond_FTCC
1238.845438,270.41319999999996,84.67995,Cond_FTS
1239.285646,272.2326,88.7859,Cond_FTS
1239.985146,229.6844,84.56655,Cond_FTS
1240.6037529999999,247.7085,74.93225,Cond_FTS
1240.84024,253.0506,78.43594,Cond_FTS
1241.1316259999999,255.8925,81.84581999999999,Cond_FTS
1241.410343,273.5854,84.22662,Cond_FTS
1241.575039,268.0919,79.1301,Cond_FTS
1243.901213,299.547,56.56289,Cond_FTCC
1244.897837,273.7654,78.76789000000001,Cond_FTCC
1245.269459,274.6689,73.48631999999999,Cond_FTCC
1245.495354,366.0039,88.53761,Cond_FTCC
1246.316759,249.415,76.32630999999999,Cond_FTCC
1246.654598,240.9493,79.13905,Cond_FTS
1247.5519789999998,191.949,77.40508,Cond_FTS
1249.6796570000001,177.78204,82.78123000000001,Cond_FTCC
1249.823944,187.7533,79.17459000000001,Cond_FTCC
1250.712885,286.7113,66.42884000000001,Cond_FTS
1251.203271,237.6147,49.08821,Cond_FTCC
1251.6608099999999,184.3364,88.02113,Cond_FTCC
1252.178261,261.4598,76.15685,Cond_FTCC
1252.8331039999998,218.3952,71.19870999999999,Cond_FTCC
1253.337467,181.6076,85.34957,Cond_FTCC
1253.8543960000002,213.5792,77.92557,Cond_FTCC
1254.429188,255.2175,89.34553000000001,Cond_FTS
1254.6985300000001,283.48,79.37856,Cond_FTS
1255.0218539999998,293.7501,78.62109,Cond_FTS
1255.3076039999999,285.9561,77.82109,Cond_FTS
1256.789759,272.7996,80.44528000000001,Cond_FTS
1257.3007400000001,269.29380000000003,82.30078,Cond_FTS
1257.9553019999998,279.9406,81.66605,Cond_FTS
1258.837906,260.8374,68.14871,Cond_FTS
1259.7289560000002,184.584,71.5844,Cond_FTS
1260.510101,180.83530000000002,73.48572,Cond_FTS
1261.677657,186.8015,67.99265,Cond_FTS
1262.3997869999998,398.1881,15.961070000000001,Cond_FTCC
1262.7502949999998,178.49135,59.580740000000006,Cond_FTCC
1262.754518,265.09590000000003,89.65156,Cond_FTCC
1263.1683699999999,269.18010000000004,81.44845,Cond_FTCC
1263.396411,254.1229,60.77621,Cond_FTCC
1263.438641,155.78072,40.48652,Cond_FTCC
1263.573777,282.42150000000004,57.95478000000001,Cond_FTCC
1263.679351,246.1575,52.432030000000005,Cond_FTCC
1263.83996,149.16795000000002,40.862109999999994,Cond_FTCC
1264.038305,163.78379,57.39037,Cond_FTCC
1264.4186650000001,244.5632,81.26154,Cond_FTS
1264.8930990000001,420.3386,79.78059,Cond_FTS
1274.513154,339.8049,74.00777,Cond_FTS
1364.228576,234.2167,88.02274,Cond_FTS
1365.909324,228.6248,74.89025,Cond_FTS
1367.902572,208.0096,67.7934,Cond_FTS
1369.220143,212.4509,67.06264,Cond_FTS
1378.789424,210.63,86.02615,Cond_FTS
1380.570338,223.5679,46.75077,Cond_FTS
1391.652633,206.97750000000002,83.18692,Cond_FTS
1392.243851,222.9402,78.95456,Cond_FTS
1392.902636,211.317,62.853559999999995,Cond_FTS
1394.608721,218.7915,62.757169999999995,Cond_FTS
1396.0445359999999,224.6968,68.5037,Cond_FTS
1397.5056880000002,234.8979,65.08707,Cond_FTS
1398.5023130000002,228.5752,70.52991,Cond_FTS
1400.343533,216.7107,72.59391,Cond_FTS
1403.404383,186.0522,74.45097,Cond_FTS
1410.290707,233.8053,79.82733,Cond_FTS
1413.940844,319.0783,48.37628,Cond_FTS
1419.731302,215.4751,65.30311999999999,Cond_FTS
1429.242172,391.4005,88.03643000000001,Cond_FTS
1432.992182,244.6944,77.97856999999999,Cond_FTS
1436.691516,209.3391,80.27599000000001,Cond_FTS
1437.350301,241.2009,88.46297,Cond_FTS
1441.14301,319.35839999999996,71.81947,Cond_FTS
1443.879034,398.5458,80.90874000000001,Cond_FTS
1445.9145130000002,253.4663,76.68760999999999,Cond_FTS
1447.781071,267.47069999999997,77.49416,Cond_FTS
1454.882028,209.0127,75.52229,Cond_FTS
1473.034515,410.4596,87.47324,Cond_FTS
1476.716956,236.3201,85.46370999999999,Cond_FTS
1479.855438,249.7107,61.3081,Cond_FTS
1480.9561039999999,248.7104,57.20114,Cond_FTS
1481.953456,232.3384,78.09679,Cond_FTS
1485.162924,267.83389999999997,72.32146,Cond_FTS
1487.8909720000001,220.6434,71.37442,Cond_FTS
1488.7102300000001,247.2298,86.8856,Cond_FTS
1490.3487480000001,201.33159999999998,72.71923000000001,Cond_FTS
1500.190643,197.98250000000002,67.81639,Cond_FTS
1500.8494289999999,200.74439999999998,83.39556,Cond_FTS
1501.322403,224.836,83.04588000000001,Cond_FTS
1501.626458,222.9147,82.64655,Cond_FTS
1502.219188,227.7582,76.19275,Cond_FTS
1502.393646,213.7694,78.91038,Cond_FTS
1502.631771,258.793,63.64735,Cond_FTCC
1502.676917,251.7997,79.4267,Cond_FTCC
1503.190042,204.1319,76.57446999999999,Cond_FTCC
1503.3225,216.7922,80.93441999999999,Cond_FTCC
1503.5234169999999,373.8524,63.10108,Cond_FTCC
1503.806687,239.0652,78.7232,Cond_FTCC
1504.05045,244.9368,65.10592,Cond_FTCC
1504.202478,257.53340000000003,60.408280000000005,Cond_FTS
1504.560583,198.81369999999998,72.95249,Cond_FTS
1513.669313,375.717,61.4439,Cond_FTCC
1514.343896,383.5002,89.79722,Cond_FTCC
1515.3077289999999,368.2912,55.717940000000006,Cond_FTS
1516.226271,407.556,85.46863,Cond_FTS
1517.0542710000002,254.8694,46.59896,Cond_FTS
1522.464186,237.7973,71.28866,Cond_FTS
1522.8081439999999,245.6917,73.83471999999999,Cond_FTS
1523.053333,241.1494,71.40521,Cond_FTS
1523.132708,251.023,69.31306,Cond_FTS
1525.231728,183.8329,26.008000000000003,Cond_FTS
1525.438103,255.3283,64.38946999999999,Cond_FTS
1525.689457,250.5927,55.666430000000005,Cond_FTS
1525.951915,243.1315,69.83575,Cond_PTS
1526.678125,266.8601,49.52061,Cond_FTS
1527.434573,250.8715,77.14487,Cond_PTS
1528.146475,251.155,80.05409,Cond_PTS
1528.312944,254.2136,85.18901,Cond_PTS
1528.8482210000002,237.0966,89.03390999999999,Cond_PTS
1528.999146,295.8307,62.86681,Cond_PTS
1529.165565,230.3195,82.43969,Cond_PTS
1529.57354,283.44780000000003,53.79311,Cond_FTS
1529.784333,239.0395,71.89513000000001,Cond_FTS
1530.3642009999999,389.0483,88.6124,Cond_PTS
1530.6945,407.8866,87.52596,Cond_FTCC
1530.861188,411.6794,86.03962,Cond_FTCC
1531.057833,325.6064,81.36576,Cond_FTCC
1531.223667,231.1378,87.88557,Cond_FTCC
1531.3038960000001,422.7998,85.73845,Cond_FTCC
1531.725705,223.5398,86.33596999999999,Cond_PTS
1532.363625,233.3561,79.63761,Cond_FTS
1534.551729,237.7766,69.8093,Cond_FTS
1536.605021,236.6697,70.96151,Cond_FTS
1538.940568,202.745,87.24911,Cond_FTS
1551.156208,221.3337,67.7149,Cond_FTS
1551.595614,394.0544,86.07415,Cond_PTCC
1551.63775,228.6559,64.94655999999999,Cond_FTCC
1552.037328,383.4204,59.72813000000001,Cond_PTS
1553.997833,228.14600000000002,67.61074,Cond_FTS
1554.603333,233.1538,60.85463000000001,Cond_FTS
1555.849521,230.9846,62.81762,Cond_FTS
1555.913021,228.2321,67.03893000000001,Cond_FTS
1556.959604,235.4564,70.31815,Cond_FTS
1557.246323,232.9601,73.72131,Cond_FTS
1557.6633960000001,237.7564,59.803000000000004,Cond_FTS
1563.6029999999998,225.8285,65.21143000000001,Cond_FTS
1564.200958,235.8442,70.28341999999999,Cond_FTS
1565.119063,222.8269,69.35693,Cond_FTS
1566.600729,245.0873,60.13559,Cond_FTS
1567.248958,219.0866,71.53919,Cond_FTS
1574.460312,207.945,72.60128,Cond_FTS
1575.255354,212.257,63.67879,Cond_FTS
1577.689521,383.4882,51.06602,Cond_FTS
1586.5518650000001,225.866,85.18349,Cond_FTS
1603.373729,182.1205,61.26595,Cond_FTS
1603.845562,349.4539,23.711170000000003,Cond_FTS
1604.4558539999998,179.04729,59.07702,Cond_FTS
1605.8083960000001,260.19780000000003,69.35239,Cond_FTS
1606.022708,236.9349,67.71814,Cond_FTS
1606.585063,357.2085,50.328759999999996,Cond_FTS
1606.9089060000001,242.8848,60.5008,Cond_FTS
1608.808771,232.7847,69.56924000000001,Cond_FTS
1609.5839999999998,237.2989,64.44979000000001,Cond_FTS
1609.7559789999998,241.7022,68.64935,Cond_FTS
1610.1494380000001,226.1763,71.79234,Cond_FTS
1610.506625,203.09050000000002,75.33331,Cond_FTS
1616.055292,375.3826,82.30575999999999,Cond_FTS
1617.265948,218.9908,74.57096999999999,Cond_FTCC
1617.784531,229.1999,77.8365,Cond_FTCC
1617.961802,229.7016,74.56397,Cond_FTCC
1617.997865,186.1576,89.43670999999999,Cond_FTS
1618.419531,258.0351,61.322309999999995,Cond_FTCC
1618.6948539999999,225.4765,65.88949000000001,Cond_FTS
1618.963563,240.0244,68.06271,Cond_FTS
1619.176396,262.95349999999996,57.43005,Cond_FTS
1619.319271,236.6838,61.8401,Cond_FTS
1619.532417,262.1417,65.02566999999999,Cond_FTS
1619.70175,248.5433,61.79196999999999,Cond_FTS
1619.937229,240.4381,63.01092,Cond_FTS
1620.0510000000002,257.56870000000004,62.10844,Cond_FTS
1620.2109169999999,252.9069,61.67559,Cond_FTS
1620.856146,285.9628,81.68511,Cond_FTS
1621.741688,235.3467,82.52999,Cond_FTS
1625.601958,207.04739999999998,75.09214,Cond_FTS
1625.7025,222.5406,67.4004,Cond_FTS
1633.463229,371.7989,55.25063000000001,Cond_FTS
1633.661999,125.34343,87.91889,Cond_PTCC
1637.515729,312.5401,69.0864,Cond_FTS
1639.76531,438.8622,76.59039,Cond_FTS
1642.365542,226.6518,63.766119999999994,Cond_FTS
1643.778104,239.8755,66.74059,Cond_FTS
1643.9395,235.7209,69.40211,Cond_FTS
1666.638479,399.9298,88.63811,Cond_FTS
1668.1624789999998,418.2057,86.0368,Cond_FTS
1670.948521,206.3741,76.74025999999999,Cond_FTS
1671.041521,248.11700000000002,80.78706,Cond_PTT
1671.5089130000001,227.4435,73.36643000000001,Cond_PTT
1671.591633,253.5883,71.4186,Cond_PTT
1671.613207,221.3724,83.05691,Cond_PTT
1671.677975,232.3061,70.91351,Cond_PTT
1671.745007,239.6764,66.45889,Cond_PTT
1671.964675,427.7805,45.26287,Cond_FTS
1674.440111,267.4927,88.21795,Cond_FTCC
1675.169938,107.5377,79.65911,Cond_FTCC
1675.7032470000001,259.0695,85.73304,Cond_FTCC
1676.7920000000001,311.9017,55.85395,Cond_FTCC
1676.800021,429.8425,86.54065,Cond_FTCC
1678.1922120000002,431.0623,73.19296,Cond_PTT
1678.8756879999999,236.8741,79.42786,Cond_FTS
1679.5912289999999,216.3295,77.94868000000001,Cond_FTS
1680.2250629999999,234.8771,87.12501999999999,Cond_FTS
1680.547854,254.8233,83.72652,Cond_FTS
1681.4130420000001,227.4885,85.11624,Cond_FTS
1682.6671670000003,238.4665,89.90913,Cond_FTS
1684.2149789999999,338.1856,56.11095,Cond_FTCC
1684.453104,84.604104,86.76026,Cond_FTCC
1685.252146,412.7916,84.95671,Cond_FTS
1689.25075,378.3731,54.69634,Cond_FTS
1690.619005,248.7679,84.0638,Cond_FTCC
1690.857776,398.82099999999997,87.42796,Cond_FTCC
1690.933859,196.22719999999998,83.43196999999999,Cond_FTCC
1691.52652,393.6929,84.90572,Cond_FTCC
1691.5441870000002,162.30509,73.74678,Cond_FTCC
1691.67946,200.3212,79.57269000000001,Cond_FTCC
1692.4358489999997,377.1756,86.02202,Cond_PTS
1692.928771,396.6611,85.81096,Cond_FTS
1693.338875,182.7193,78.19655,Cond_FTS
1693.697313,173.49385,75.92356,Cond_FTS
1693.9156670000002,167.84962000000002,75.35265,Cond_FTS
1694.413083,170.05513000000002,77.09701,Cond_FTCC
1694.5710199999999,412.3023,87.17045999999999,Cond_FTCC
1695.2703329999997,172.47283,71.65673000000001,Cond_FTS
1696.2995629999998,382.4031,89.5715,Cond_FTCC
1696.8049170000002,338.1563,71.27135,Cond_FTCC
1697.2370629999998,416.2843,78.27274,Cond_FTCC
1697.469021,224.6818,87.03522,Cond_FTCC
1697.717729,398.6008,88.61169,Cond_FTCC
1699.339625,207.22570000000002,83.02806,Cond_FTCC
1699.421646,210.6425,80.16842,Cond_FTCC
1699.8586649999997,412.8372,85.35305,Cond_FTCC
1699.9528649999997,397.6619,78.10565,Cond_PTCC
1700.419125,415.4017,84.07551,Cond_FTCC
1700.5218989999998,411.6087,75.21956999999999,Cond_PTCC
1701.268979,410.5965,77.33116,Cond_FTCC
1703.681979,276.5452,50.656729999999996,Cond_FTCC
1705.7854170000003,394.6412,89.19275999999999,Cond_FTCC
1708.1904789999999,206.5746,80.5827,Cond_FTCC
1710.5597710000002,377.3354,55.015930000000004,Cond_FTS
1711.3654789999998,208.6811,87.47688000000001,Cond_FTCC
1712.0096879999999,307.0144,53.64779,Cond_FTS
1712.393434,194.2055,78.20158,Cond_FTS
1718.217302,423.3925,81.63221,Cond_FTS
1718.3839899999998,420.7277,82.96924,Cond_FTS
1718.847607,423.0931,88.36882,Cond_PTS
1719.1853230000002,431.711,76.70158,Cond_FTS
1722.488411,417.7004,85.48917,Cond_PTS
1723.3604480000001,237.3592,87.4522,Cond_FTCC
1724.7670100000003,248.7032,83.95026,Cond_FTCC
1727.325531,343.1447,63.28312,Cond_FTCC
1727.680073,197.5765,28.13642,Cond_FTCC
1728.40498,185.72750000000002,82.01052,Cond_PTS
1729.046365,424.7183,79.67551999999999,Cond_FTCC
1729.878675,346.4391,76.04581,Cond_FTCC
1730.9922550000001,230.4747,79.58585,Cond_FTS
1732.640506,192.41140000000001,83.99216,Cond_FTS
1739.7378850000002,233.2114,78.43684,Cond_FTS
1740.7615030000002,167.70242,89.07198000000001,Cond_PTS
1741.2804059999999,215.08100000000002,82.86105,Cond_FTS
1743.1220690000002,189.091,87.73691,Cond_FTCC
1743.1986350000002,393.1131,88.54913,Cond_FTCC
1743.682823,386.405,89.18092,Cond_FTS
1744.4474690000002,392.07099999999997,83.97245,Cond_FTS
1746.159323,299.9817,59.782709999999994,Cond_FTS
1747.214927,306.3435,71.94901,Cond_FTCC
1747.249323,248.1081,76.97801,Cond_FTCC
1747.662428,349.6623,58.558119999999995,Cond_FTCC
1748.257385,271.8193,81.32309000000001,Cond_FTS
1748.75618,341.153,27.6032,Cond_FTCC
1748.804745,401.1065,89.68725,Cond_FTCC
1748.933546,314.2175,49.85992,Cond_FTCC
1749.4132809999999,315.7099,58.24194,Cond_FTS
1750.061082,409.9087,84.09535,Cond_FTCC
1750.0737510000001,273.48159999999996,81.68295,Cond_FTCC
1750.421344,420.8907,87.16467,Cond_FTS
1751.6529690000002,306.54110000000003,67.72372,Cond_FTS
1752.1027600000002,258.95799999999997,52.688140000000004,Cond_FTS
1763.931473,152.71857,36.06065,Cond_FTS
1782.9180079999999,421.0185,52.969190000000005,Cond_FTS
1790.328635,98.81926,21.396539999999998,Cond_FTS
1796.500313,209.9685,86.7571,Cond_FTCC
1797.389312,210.004,76.81398,Cond_FTCC
1805.231615,255.9438,74.32287,Cond_FTS
1805.800469,243.1063,79.30766,Cond_FTS
1806.678073,227.6251,51.08848,Cond_FTS
1807.424198,236.1758,58.351169999999996,Cond_FTS
1810.231866,328.5781,56.98944,Cond_FTS
1810.857493,333.6557,68.23307,Cond_FTS
1812.431368,245.0041,79.35893,Cond_FTS
1813.825995,232.1774,77.67116999999999,Cond_FTS
1814.490104,353.2241,65.31958,Cond_FTS
1816.6461350000002,208.5869,69.91292,Cond_FTS
1819.619455,254.6835,61.00298000000001,Cond_FTCC
1820.417545,251.81099999999998,62.85259,Cond_FTCC
1822.587716,262.2954,59.15203,Cond_FTCC
1822.70531,299.0707,45.32442,Cond_FTS
1823.0392539999998,264.23249999999996,63.761469999999996,Cond_FTCC
1823.424781,341.0963,43.93248,Cond_FTS
1824.4257850000001,346.5754,54.30196,Cond_FTS
1824.6994969999998,266.3325,48.318329999999996,Cond_FTS
1825.8360530000002,242.1998,63.40707,Cond_FTS
1826.9022260000002,176.3544,37.43039,Cond_FTS
1827.7275730000001,399.3177,78.63691,Cond_FTS
1827.973635,406.5454,79.33075,Cond_FTS
1828.771287,201.9054,87.30224,Cond_FTS
1829.2019100000002,225.68,82.72043000000001,Cond_FTS
1832.943474,243.5629,81.91694,Cond_FTS
1834.203469,207.39440000000002,74.13643,Cond_FTCC
1834.244153,271.15819999999997,77.22507,Cond_FTCC
1834.645323,278.90369999999996,79.4606,Cond_FTS
1835.96824,275.9166,71.02803,Cond_FTS
1837.5022940000001,253.1319,60.5374,Cond_FTCC
1837.653691,252.5496,53.603530000000006,Cond_FTCC
1837.835463,266.073,59.92681999999999,Cond_FTCC
1838.020111,241.751,58.4464,Cond_FTCC
1838.2586820000001,255.8877,52.6646,Cond_FTCC
1839.102041,250.3826,62.10005,Cond_FTCC
1839.2465079999997,254.6355,56.73223,Cond_FTCC
1839.532823,239.2848,62.716809999999995,Cond_FTCC
1840.042254,259.45230000000004,55.69758,Cond_FTCC
1840.144414,263.09360000000004,47.64821,Cond_FTCC
1840.2387780000001,268.21860000000004,53.53264,Cond_FTCC
1840.3952329999997,272.0488,55.998740000000005,Cond_FTCC
1840.5317719999998,256.994,55.96585,Cond_FTCC
1840.720981,269.2222,55.25342,Cond_FTCC
1840.8548460000002,280.51329999999996,45.156000000000006,Cond_FTCC
1840.982407,261.7045,53.29699,Cond_FTCC
1841.130591,256.6127,52.56944,Cond_FTCC
1841.4063260000003,274.8597,46.89781,Cond_FTCC
1841.509428,269.7369,48.62591,Cond_FTCC
1841.624548,264.21860000000004,44.783229999999996,Cond_FTCC
1841.8013600000002,294.6104,37.097159999999995,Cond_FTCC
1841.9188329999997,272.9326,46.16706,Cond_FTCC
1842.165568,265.0653,44.30273,Cond_FTCC
1842.253843,257.41589999999997,54.007630000000006,Cond_FTCC
1842.38079,248.8565,62.19875,Cond_FTCC
1842.467095,270.0439,53.721759999999996,Cond_FTCC
1842.636372,263.2739,51.1139,Cond_FTCC
1842.750306,266.7424,47.16389,Cond_FTCC
1842.8506260000001,268.8768,49.19538,Cond_FTCC
1842.965432,285.5913,45.81021,Cond_FTCC
